Type,Depth,Magnitude,ID,Latitude,Longitude,Dates
Earthquake,25.0,5.8,ISCGEM856887,-4.131,134.946,1965-05-15 23:58:36
Earthquake,35.0,5.9,ISCGEM856902,5.268,125.467,1965-05-16 11:35:47
Earthquake,68.4,6.7,ISCGEM856924,22.336,121.248,1965-05-17 17:19:33
Earthquake,35.0,5.6,ISCGEM856977,-8.938,159.083,1965-05-19 03:00:58
Earthquake,35.0,5.6,ISCGEM856984,-6.575,105.311,1965-05-19 06:03:56
Earthquake,50.0,5.5,ISCGEM856995,-4.819,152.436,1965-05-19 13:59:55
Earthquake,120.0,7.7,ISCGEM857011,-14.921,167.34,1965-05-20 00:40:27
Earthquake,35.0,5.7,ISCGEM857068,1.309,126.239,1965-05-22 03:05:46
Earthquake,553.8,6.1,ISCGEM857075,-21.126,-178.537,1965-05-22 10:31:39
Earthquake,28.5,6.0,ISCGEM857113,52.149,175.119,1965-05-23 23:46:15
Earthquake,25.0,5.9,ISCGEM857130,13.174,124.604,1965-05-24 23:21:12
Earthquake,30.1,5.8,ISCGEM857142,51.227,178.882,1965-05-25 13:07:51
Earthquake,125.0,6.0,ISCGEMSUP857167,-55.957,-27.875,1965-05-26 19:44:13
Earthquake,150.0,5.9,ISCGEM857305,-7.566,128.578,1965-05-31 11:38:42
Earthquake,540.0,5.7,ISCGEM855792,-23.54,-179.917,1965-06-02 05:13:00
Earthquake,12.5,5.9,ISCGEM855811,15.674,-46.712,1965-06-02 23:40:23
Earthquake,20.0,5.6,ISCGEM855868,-1.649,126.552,1965-06-05 03:49:03
Earthquake,20.0,5.6,ISCGEM855987,51.884,174.015,1965-06-11 02:37:35
Earthquake,40.7,7.0,ISCGEM855990,44.608,149.022,1965-06-11 03:33:47
Earthquake,58.0,7.2,ISCGEM855991,44.578,148.699,1965-06-11 03:34:04
Earthquake,31.6,5.5,ISCGEM856010,44.133,149.255,1965-06-11 07:11:04
Earthquake,35.0,5.6,ISCGEM856011,44.112,149.539,1965-06-11 07:27:44
Earthquake,32.6,5.7,ISCGEM856015,44.299,149.032,1965-06-11 08:41:01
Earthquake,35.0,5.6,ISCGEM856064,44.167,149.87,1965-06-12 05:28:40
Earthquake,38.0,5.7,ISCGEM856066,43.775,149.448,1965-06-12 05:40:58
Earthquake,35.0,5.7,ISCGEM856067,43.804,149.351,1965-06-12 06:03:33
Earthquake,35.0,5.5,ISCGEM856087,43.885,149.339,1965-06-12 18:45:44
Earthquake,102.2,5.9,ISCGEM856088,-20.38,-68.944,1965-06-12 18:50:12
Earthquake,38.1,6.1,ISCGEM856098,41.705,143.727,1965-06-13 07:06:15
Earthquake,25.0,5.9,ISCGEM856108,37.718,29.378,1965-06-13 20:01:51
Earthquake,10.0,5.6,ISCGEM856118,-39.902,45.55,1965-06-14 07:30:42
Earthquake,95.0,5.9,ISCGEMSUP856141,-38.08,177.442,1965-06-15 09:20:34
Earthquake,25.0,6.2,ISCGEM856155,-21.025,173.574,1965-06-15 23:10:29
Earthquake,10.0,5.9,ISCGEM856219,32.052,87.784,1965-06-17 20:14:51
Earthquake,45.0,5.6,ISCGEM856278,44.505,149.218,1965-06-20 01:57:26
Earthquake,10.0,5.5,ISCGEM856293,42.973,-126.652,1965-06-20 18:04:34
Earthquake,25.0,5.9,ISCGEM856301,28.134,55.891,1965-06-21 00:21:17
Earthquake,40.0,6.3,ISCGEM856343,7.175,123.613,1965-06-22 23:48:07
Earthquake,20.0,6.5,ISCGEM856357,56.543,-152.948,1965-06-23 11:09:17
Earthquake,30.0,5.8,ISCGEM856382,7.034,126.25,1965-06-24 07:45:13
Earthquake,10.0,5.7,ISCGEM856447,-54.437,4.965,1965-06-27 09:45:45
Earthquake,15.0,6.5,ISCGEM856449,60.281,-141.418,1965-06-27 11:08:59
Earthquake,40.0,5.9,ISCGEM856452,23.764,121.56,1965-06-27 11:36:14
Earthquake,25.0,6.0,ISCGEM856478,-5.01,153.06,1965-06-28 03:33:35
Earthquake,30.0,5.8,ISCGEM856531,-1.734,126.53,1965-06-30 02:53:16
Earthquake,44.6,5.7,ISCGEM856536,51.813,176.53,1965-06-30 08:33:33
Earthquake,10.0,6.1,ISCGEM855097,-63.159,-163.707,1965-07-01 23:12:42
Earthquake,45.0,7.8,ISCGEM855112,52.99,-167.739,1965-07-02 20:58:40
Earthquake,35.0,5.9,ISCGEM855121,22.338,101.496,1965-07-03 11:26:13
Earthquake,35.0,5.8,ISCGEMSUP855168,-22.567,172.939,1965-07-06 03:04:21
